12957;CONSELHO MUNICIPAL DE ALIMENTA«√O ESCOLAR: UM ESPA«O DE REPRESENTA«√O SOCIAL NA GEST√O P⁄BLICA;EMANUEL  JUSTO, FABIANE PEREIRA DE SOUSA, IDELFRAN DA SILVA EUSTAQUIO, LUMA KRISCYA CO LHO DE SOUSA;IFMA;CI NCIAS SOCIAIS APLICADAS;BANNER
12947;AVALIA«√O DO CONFORTO AMBIENTAL NAS SALAS DE AULA DA UNIVERISIDADE FEDERAL DE SERGIPE;FERNANDA  STINGELIN, GLAUBER  BARROS, JOCIMAR  RODRIGUES JUNIOR, LÌVIA  VIEIRA;OUTROS,  UFS;CI NCIAS BIOL”GICAS;BANNER
12940;AN¡LISE COMPARATIVA DAS DAS TEORIAS DE APRENDIZAGEM EM PIAGET E VYGOTSKY;BELMIRO GUILHERME LOPES, LOUIZE GABRIELA SILVA DE SOUZA, RUTH LOPES DE SOUSA, STEPHANIE RAQUEL GUILHERME LOPES;IFRN;CI NCIAS HUMANAS;BANNER
12932;MATERIAIS ALTERNATIVOS UTILIZADOS EM AULAS PR¡TICAS NO ENSINO DE QUÕMICA: UM ESTUDO SOBRE A SUA UTILIZAÁ„O EM ESCOLAS SEM LABORATÛRIOS;MARCIEL NASCIMENTO JUSTINO;IFMA;CI NCIAS EXATAS E DA TERRA;BANNER
12912;DIAGN”STICO AMBIENTAL DO RIO CORRENTE NAS PR”XIMIDADES DO PERÕMETRO URBANO DA CIDADE DE CORRENTE - PI;ANA CARLA RIBEIRO MACIEL, ANA VALÈRIA ALVES RODRIGUES DO NASCIMENTO, BRUNA DE FREITAS IWATA, MILA OHANA MACIEL C…SAR, TANCIO GUTIER AILAN COSTA;IFPI;MULTIDISCIPLINAR;BANNER
12908;A I FEIRA DE INICA«√O CIENTÕFICA DE CATU: SABERES E VIV NCIAS DE ESTUDANTES DA EDUCA«√O PROFISSIONAL;ALEXANDRA SOUZA DE CARVALHO, HENRIQUE CARDOSO SILVA, MARCELO SOUZA OLIVEIRA;IFBA;MULTIDISCIPLINAR;BANNER
12904;LIVRO DID¡TICO DE QUÕMICA: CRIT…RIOS DE SELE«√O A PARTIR DE PAR¬METROS SUGERIDOS POR PROFESSORES E BASEADOS NO GUIA NACIONAL DO LIVRO DID¡TICO;AMANDA DE CARVALHO SANTOS MENEZES;IFBA;CI NCIAS HUMANAS;BANNER
12903;DIAGN”STICO DA PRODU«√O AGRÕCOLA NO ASSENTAMENTO NOVA JERUSAL…M, MUNICÕPIO DE MARAGOGI-AL;IZAILQUE CAROLINO DE OLIVEIRA, JAILSON DO CARMO ALVES, JONATHAS DA SILVA SANTOS, MÙNICA  PÙRTO;OUTROS;CI NCIAS AGR¡RIAS;BANNER
12899;ESTUDO DO USO DO PODER TERMOEL…TRICO PARA ACOMPANHAMENTO DE FRAGILIZA«√O EM UM A«O;BRUNO RIBEIRO ARA˙JO;IFPB;ENGENHARIAS;BANNER
12898;A DID·TICA DA LITERATURA IMAGIN·RIA: UMA AN·LISE A PARTIR DE C.S.LEWIS;NATHAN  D'ALMEIDA ALVES DE OLIVEIRA;IFPB;LINGUÕSTICA, LETRAS E ARTES;BANNER
12897;UTILIZA«√O DO BIODIGESTOR NA REDU«√O DE CARGAS POLUIDORAS EM RIOS DA GRANDE JO√O PESSOA - PB;ANDRÈ  LUIZ DA SILVA, KATYANE LIMA FERREIRA, MAGDALENA DUARTE COSTA, RAFAEL MARQUES DA SILVA LIMA;IFPB;ENGENHARIAS;BANNER
12891;AN¡LISE E AVALIA«√O DOS ASPECTOS SOCIAIS E POLÕTICOS DO PROEJA COMO POLÕTICA P⁄BLICA OFERTADA NO ¬MBITO DO INSTITUTO FEDERAL DO TOCANTINS;JOSE WELLINGTON ABREU PEREIRA;IFTO;CI NCIAS SOCIAIS APLICADAS;BANNER
12890;AVALIA«√O DE FONTES E DOSES DE F”SFORO SOBRE A PRODU«√O DE BIOMASSA DO FEIJ√O MACASSAR;JANDEILSON  ALVES DE ARRUDA, JOSÈ  LUCÌNIO DE OLIVEIRA FREIRE, JOSÈ  WELLINGTON DE MEDEIROS ESTRELA, SEBASTIANA JOELMA  DE AZEVEDO SANTOS, VANDERLÈIA FERNANDA  DOS SANTOS ARA˙JO;IFPB;CI NCIAS AGR¡RIAS;BANNER
